date,MU
5/14/19,38.51
5/13/19,37.38
5/10/19,38.94
5/9/19,39.27
5/8/19,39.75
5/7/19,40.26
5/6/19,42.13
5/3/19,43.33
5/2/19,42.56
5/1/19,41.9
4/30/19,42.06
4/29/19,42.11
4/26/19,42.1
4/25/19,42.75
4/24/19,43.03
4/23/19,42.77
4/22/19,43.4
4/18/19,43.4
4/17/19,43.15
4/16/19,42.76
4/15/19,41.82
4/12/19,42.01
4/11/19,42.28
4/10/19,42.17
4/9/19,41.72
4/8/19,42.9
4/5/19,43.32
4/4/19,42.89
4/3/19,43.9
4/2/19,42.44
4/1/19,42.25
3/29/19,41.33
3/28/19,39.34
3/27/19,39.23
3/26/19,40.32
3/25/19,40.55
3/22/19,41.62
3/21/19,43.99
3/20/19,40.13
3/19/19,40.37
3/18/19,39.61
3/15/19,39.54
3/14/19,38.41
3/13/19,38.83
3/12/19,39.25
3/11/19,39.03
3/8/19,38.65
3/7/19,37.83
3/6/19,37.93
3/5/19,39.99
3/4/19,41.06
3/1/19,41.58
2/28/19,40.88
2/27/19,41.32
2/26/19,42.96
2/25/19,42.75
2/22/19,42.57
2/21/19,41.53
2/20/19,42.21
2/19/19,41.96
2/15/19,41.99
2/14/19,42.23
2/13/19,41.68
2/12/19,40.4
2/11/19,38.58
2/8/19,38.58
2/7/19,39.38
2/6/19,41.52
2/5/19,39.37
2/4/19,39.47
2/1/19,39.6
1/31/19,38.22
1/30/19,38.24
1/29/19,37.39
1/28/19,38.08
1/25/19,38.96
1/24/19,36.59
1/23/19,34.24
1/22/19,33.87
1/18/19,35.76
1/17/19,33.88
1/16/19,33.58
1/15/19,33.99
1/14/19,34.67
1/11/19,36.01
1/10/19,35.91
1/9/19,35.44
1/8/19,33.74
1/7/19,34
1/4/19,32.7
1/3/19,31
1/2/19,32.75
12/31/18,31.73
12/28/18,31.57
12/27/18,31.93
12/26/18,30.89
12/24/18,29.02
12/21/18,30.32
12/20/18,31.28
12/19/18,31.41
12/18/18,34.11
12/17/18,33.88
12/14/18,34.2
12/13/18,35.02
12/12/18,36.03
12/11/18,35.21
12/10/18,34.8
12/7/18,35.31
12/6/18,37.67
12/4/18,36.88
12/3/18,40.03
11/30/18,38.56
11/29/18,37.91
11/28/18,38.71
11/27/18,37
11/26/18,36.57
11/23/18,36.4
11/21/18,36.38
11/20/18,36.12
11/19/18,36.83
11/16/18,39.44
11/15/18,39.91
11/14/18,38.03
11/13/18,37.85
11/12/18,37.44
11/9/18,39.11
11/8/18,40.44
11/7/18,40.93
11/6/18,39.8
11/5/18,39.92
11/2/18,40.32
11/1/18,40.12
10/31/18,37.72
10/30/18,36.01
10/29/18,34.66
10/26/18,35.4
10/25/18,36.78
10/24/18,35.43
10/23/18,38.68
10/22/18,39.76
10/19/18,40.45
10/18/18,41.3
10/17/18,42.35
10/16/18,43.21
10/15/18,42.34
10/12/18,42.47
10/11/18,41.97
